Korean;kore1280
Ket;kett1243
Lak;lakk1252
Kabardian;kaba1278
Georgian;nucl1302
Burushaski;buru1296
Kurukh;kuru1302
Telugu;telu1262
Kota;kota1263
Mundari;mund1320
Kharia;khar1287
Khasi;khas1269
Sedang;seda1262
Cambodian;cent1989
Vietnamese;viet1252
Mandarin Chinese;mand1415
Wu;wuch1236
Hakka;hakk1236
Cantonese;yuec1235
Yao;iumi1238
Dafla;nyis1236
Burmese;nucl1310
Lahu;lahu1253
Garo;garo1247
Karen;sgaw1245
Lakkia;lakk1238
Thai;thai1261
Yay;bouy1240
Cham;east2563
Atayal;atay1247
Malagasy;plat1254
Malay;stan1306
Batak;bata1289
Sa'ban;saba1265
Sundanese;sund1252
Javanese;java1254
Tagalog;taga1270
Chamorro;cham1312
Iai;iaai1238
Kaliai;kali1299
Adzera;adze1240
Maori;maor1246
Hawaiian;hawa1245
Western Desert;anta1253
Nyangumata;nyan1301
Kunjen;kunj1245
Maranungku;mara1386
Maung;maun1240
Nunggubuyu;nung1290
Alawa;alaw1244
Wik-Munkan;wikm1247
Sentani;nucl1632
Washkuk;kwom1262
Asmat;tamn1235
Telefol;tele1256
Gadsup;gads1258
Auyana;awiy1238
Kunimaipa;kuni1267
Selepet;sele1250
Nasioi;naas1242
Aleut;aleu1260
Inuit;kala1399
Chipewyan;chip1261
Chasta Costa;tolo1259
Hupa;hupa1239
Navaho;nava1243
Haida;sout2956
Squamish;squa1248
Salish;sout2965
Nootka;nuuc1236
Kwakiutl;kwak1269
Ojibwa;east2542
Delaware;unam1242
Wichita;wich1260
Dakota;lako1247
Seneca;sene1264
Oneida;onei1249
Yuchi;yuch1247
Alabama;alab1237
Tunica;tuni1252
Nez Perce;nezp1238
Maidu;nort2952
Zoque;copa1236
Totonac;papa1238
Chontal;taba1266
Tzeltal;tzel1254
Tarascan;pure1242
Karok;karo1304
Pomo;sout2982
Digueno;kumi1248
Zuni;zuni1245
Tiwa;picu1248
Tewa;tewa1260
Luiseno;luis1253
Hopi;hopi1249
Pima;toho1245
Otomi;mezq1235
Mazahua;cent2144
Mazateco;chiq1250
Mixtec;sanm1295
Cayapa;chac1249
Paez;paez1247
Itonama;iton1250
Quechua;sout2991
Aymara;jaqa1244
Araucanian;mapu1245
Island Carib;isla1278
Wapishana;wapi1253
Goajiro;wayu1243
Campa;asha1243
Moxo;igna1246
Amuesha;yane1238
Jivaro;shua1257
Barasano;waim1255
Ticuna;ticu1245
Carib;gali1262
Ocaina;ocai1244
Siriono;siri1273
Guarani;para1311
Amahuaca;amah1246
Chacobo;chac1251
Apinaye;apin1244
Shilha;tach1250
Hausa;haus1257
Angas;ngas1240
Margi;marg1265
Somali;soma1255
Awiya;awng1244
Iraqw;iraq1241
Tigre;tigr1270
Amharic;amha1245
Egyptian Arabic;egyp1253
Moroccan Arabic;moro1292
Maltese;malt1254
Modern Hebrew;hebr1245
Katcha;katc1250
Kpelle;libe1247
Wolof;nucl1347
Dagbani;dagb1246
Akan;akan1250
Ga;gaaa1244
Ewe;ewee1241
Igbo;nucl1417
Beembe;beem1239
Swahili;swah1253
Luvale;luva1239
Zulu;zulu1248
Gbeya;gbay1287
Songhai;koyr1242
Kanuri;cent2050
Logbara;lugb1240
Mahas-Fiyadikka;nobi1240
Luo;luok1236
Maasai;masa1300
Nama;nama1265
Irish Gaelic;iris1253
Breton;bret1244
Icelandic;icel1247
Norwegian;norw1259
English;stan1293
German;stan1295
French;stan1290
Portuguese;port1283
Spanish;stan1288
Rumanian;roma1327
Russian;russ1263
Bulgarian;bulg1262
Lithuanian;lith1251
Albanian;tosk1239
Modern Greek;mode1248
Armenian;nucl1235
Persian;west2369
Pashto;cent1973
Kashimiri;kash1277
Punjabi;panj1256
Hindi-Urdu;hind1269
Bengali;beng1280
Sinhalese;sinh1246
Basque;basq1248
Finnish;finn1318
Cheremis;east2328
Komi;komi1268
Hungarian;hung1274
Ostyak;khan1273
Yurak;nene1249
Turkish;nucl1301
Azerbaijani;nort2697
Kirghiz;kirg1245
Chuvash;chuv1255
Yakut;yaku1245
Khalkha;halh1238
Even;even1260
Yukaghir;nort2745
Gilyak;gily1242
Chukchi;chuk1273
Ainu;ainu1240
Japanese;nucl1643
KOTOKO;afad1236
ACHUMAWI;achu1247
ADZERA;adze1240
ARRERNTE;east2379
AMELE;amel1241
ANGAATIHA;anga1290
AGHEM;aghe1239
AIZI;apro1235
AHTNA;ahte1237
AINU;ainu1240
AKAN;akan1250
AKAWAIO;akaw1239
ALABAMA;alab1237
QAWASQAR;qawa1238
ALLADIAN;alla1248
ALEUT;aleu1260
ALAWA;alaw1244
ALBANIAN;tosk1239
AMAHUACA;amah1246
AMUESHA;yane1238
HAMER;hame1242
AMHARIC;amha1245
AMO;amoo1242
ALAMBLAK;alam1246
AMUZGO;guer1243
ANGAS;ngas1240
ANDOKE;ando1256
WESTERN DESERT;anta1253
APINAYE;apin1244
ANDAMANESE;apuc1241
ARCHI;arch1244
ARABELA;arab1268
ARAUCANIAN;mapu1245
ARABIC;egyp1253
AUCA;waor1240
AVAR;avar1256
AWIYA;awng1244
ABIPON;abip1241
AZERBAIJANI;nort2697
BASHKIR;bash1264
BAMBARA;bamb1269
BARASANO;waim1255
BARIBA;baat1238
BATAK;bata1289
BATS;bats1242
BOBO-FING;nort2819
BAI;cent2004
BARDI;bard1255
KOHUMONO;kohu1244
SAMA;indo1317
BANDJALANG;twee1234
BEJA;beja1238
BENGALI;beng1280
BEEMBE;beem1239
BETE;dalo1238
BISA;biss1248
BAKAIRI;baka1277
BELLA COOLA;bell1243
MUINANE;muin1242
BIROM;bero1242
BORORO;boro1282
BRAO;lave1249
BRETON;bret1244
BRAHUI;brah1256
BRUU;west2397
BODO;bodo1269
BURUSHASKI;buru1296
BULGARIAN;bulg1262
BURARRA;bura1267
BAINING;qaqe1238
BRIBRI;brib1243
CADDO;cadd1256
ASHUSLAY;niva1238
NICOBARESE;carn1240
CARIB;gali1262
CAYAPA;chac1249
NYAH KUR;nyah1250
CACUA;cacu1241
FUZHOU;mind1253
CHAMORRO;cham1312
CHIPEWYAN;chip1261
HIGHLAND CHINANTEC;quio1240
CHEROKEE;cher1273
CHUVASH;chuv1255
CHAM;east2563
UPPER CHEHALIS;uppe1439
CHUAVE;chua1250
CHUKCHI;chuk1273
MANDARIN;mand1415
LAI;haka1240
CAMPA;asha1243
COFAN;cofa1242
KONYAGI;wame1240
HMONG;chua1256
ISLAND CARIB;isla1278
TIDDIM CHIN;tedi1235
CHATINO;west2644
CUBEO;cube1242
CAYUVAVA;cayu1262
DANGALEAT;dang1274
DAN;dann1241
DAGBANI;dagb1246
DAJU;darf1239
DAHALO;daha1245
DAFLA;nyis1236
DYIRBAL;dyir1250
GERMAN;stan1295
DIYARI;dier1241
DIEGUENO;kumi1248
DINKA;nort2815
DANI;lowe1415
KAM;nort2735
DOAYO;doya1240
RUKAI;ruka1240
DAGUR;daur1238
DOGON;toro1252
YOLNGU;dhuw1249
DIOLA;jola1263
EFIK;efik1245
EKARI;ekar1243
GREEK;mode1248
YUPIK;cent2128
EJAGHAM;ejag1239
BASQUE;basq1248
EVEN;even1260
EWE;ewee1241
EWONDO;ewon1239
EYAK;eyak1241
FASU;fasu1242
NUBIAN;nobi1240
FIJIAN;fiji1243
FINNISH;finn1318
FE?FE?;fefe1239
FRENCH;stan1290
IATE;fuln1247
FUR;furr1244
PO-AI;guib1244
GA;gaaa1244
GADSUP;gads1258
GARAWA;gara1269
GBEYA;gbay1287
GWARI;gbag1258
GELAO;qaua1234
NANAI;nana1257
IRISH;iris1253
KULLO;dawr1236
GUAJIRO;wayu1243
GUARANI;para1311
GUAHIBO;guah1255
GUAMBIANO;guam1248
ACHE;ache1246
GUGU-YALANDYI;kuku1273
HAKKA;hakk1236
HAUSA;haus1257
HAWAIIAN;hawa1245
HAIDA;sout2956
HINDI-URDU;hind1269
HIXKARYANA;hixk1239
HOPI;hopi1249
HADZA;hadz1240
HUNGARIAN;hung1274
HUPA;hupa1239
HUASTECO;huas1242
HUAVE;sanm1287
ARMENIAN;nucl1235
IAI;iaai1238
IBAN;iban1264
IGBO;nucl1417
MOXO;igna1246
KOLOKUMA IJO;izon1238
IK;ikkk1242
IRARUTU;irar1238
IRAQW;iraq1241
IRANXE;iran1263
ISOKO;isok1239
ITELMEN;itel1242
ITONAMA;iton1250
MIEN;iumi1238
IVATAN;ivat1242
IWAM;iwam1256
JACALTEC;popt1235
YANYUWA;yany1243
JAVANESE;java1254
JEBERO;jebe1250
TOL;toll1241
JIVARO;shua1257
JAPANESE;nucl1643
JAQARU;jaqa1244
JAPRERIA;japr1238
JINGPHO;kach1280
INUIT;kala1399
KASHMIRI;kash1277
GEORGIAN;nucl1302
KABARDIAN;kaba1278
CAMSA;cams1241
KOIARI;gras1249
KEFA;kafa1242
DERA;dera1245
KHANTY;khan1273
K'EKCHI;kekc1242
KERA;kera1255
KET;kett1243
KOTA;kota1263
KOYA;koya1251
KAINGANG;kain1272
KHASI;khas1269
LUE;luuu1242
KHALKHA;halh1238
KALIAI;lusi1240
KHMER;cent1989
KHARIA;khar1287
KIOWA;kiow1266
KIRGHIZ;kirg1245
SOUTHERN KIWAI;sout2949
KHMU?;khmu1256
ACOMA;west2632
KEWA;east2516
TEKE;teke1280
KLAMATH;klam1254
KLAO;klao1243
KWOMA;kwom1262
KURDISH;nort2641
KANAKURU;dera1248
KANURI;cent2050
KONKANI;konk1267
KOREAN;kore1280
KPAN;kpan1246
SRE;koho1244
KOMI;komi1268
KORYAK;kory1246
SEBEI;kups1238
KURUKH;kuru1302
KAREN;sgaw1245
KALKATUNGU;kalk1246
!XU;juho1239
KUNAMA;kuna1268
KUNIMAIPA;kuni1267
CUNA;bord1248
KWAIO;kwai1243
KWAKW'ALA;kwak1269
KAROK;karo1304
LAKKIA;lakk1238
LAK;lakk1252
LELEMI;lele1264
LUGBARA;lugb1240
LAHU;lahu1253
LITHUANIAN;lith1251
DAKOTA;lako1247
LAME;peve1243
LUISENO;luis1253
LUO;luok1236
LUSHOOTSEED;sout2965
MAZATEC;chiq1250
MAASAI;masa1300
MAZAHUA;cent2144
MAXAKALI;maxa1247
MAMBILA;came1252
MBUM;mbum1254
MABA;maba1277
DIZI;dizi1235
MBA-NE;mbaa1245
MOGHOL;mogh1245
MARI;east2328
MIXTEC;sanm1295
MONGUOR;tuuu1240
MANCHU;manc1252
MOR;morb1239
MORO;moro1285
MALAKMALAK;mull1237
MAUNG;maun1240
DADIBI;dadi1250
WEST MAKIAN;west2600
MARGI;marg1265
MARANAO;mara1404
MIXE;toto1305
MURSI;murs1242
MURINHPATHA;murr1258
KALA LAGAW YA;kala1377
BURMESE;nucl1310
PIRAHA;pira1253
MUMUYE;nucl1240
MOVIMA;movi1243
SOUTHERN NAMBIQUARA;sout2994
XIAMEN;minn1241
NAMA;nama1264
NASIOI;naas1242
NAVAJO;nava1243
NAXI;naxi1245
NAHUATL;nort2957
NDUT;ndut1239
NEPALI;nepa1254
NEWARI;newa1246
NEZ PERCE;nezp1238
NGIZIM;ngiz1242
NONI;noon1243
LUA;niel1243
NGANASAN;ngan1291
NIMBORAN;nucl1633
NIVKH;gily1242
AO;aona1235
MAIDU;nort2952
NORWEGIAN;norw1259
TSESHAHT;nuuc1236
NERA;nara1262
LUNGCHOW;nung1283
NUNGGUBUYU;nung1290
NYIMANG;amas1236
NYANGI;nyan1313
OCAINA;ocai1244
OGBIA;ogbi1239
OJIBWA;east2542
PAPAGO;toho1245
ORMURI;ormu1247
PACOH;paco1243
PAYA;pech1241
PAEZ;paez1247
PANARE;enap1235
YAY;bouy1240
FARSI;west2369
MALAGASY;plat1254
POMO;sout2982
POHNPEIAN;pohn1238
PARAUK;para1301
PASHTO;cent1973
PAIWAN;paiw1248
PHLONG;pwon1235
QUECHUA;sout2991
QUILEUTE;quil1240
RESIGARO;resi1247
ROMANIAN;roma1327
ROTOKAS;roto1249
RORO;waim1251
RUSSIAN;russ1263
RUTUL;rutu1240
SANDAWE;sand1273
SANGO;sang1328
YAKUT;yaku1245
SEDANG;seda1262
SENECA;sene1264
SENADI;ceba1235
SELKUP;selk1253
SONGHAI;koyr1242
SENTANI;nucl1632
SHIRIANA;xiri1243
SHILHA;tach1250
SHUSWAP;shus1248
SHASTA;shas1239
SINHALESE;sinh1246
EPENA PEDEE;epen1239
SIERRA MIWOK;sout2985
SALIBA;sali1298
SAAMI;sout2674
SIONA;sion1247
SA'BAN;saba1265
SOMALI;soma1255
SPANISH;stan1288
SELEPET;sele1250
SOCOTRI;soqo1240
SIRIONO;siri1273
NAMBAKAENGO;natu1246
SUENA;suen1241
SAVOSAVO;savo1255
SUI;suii1243
TAMANG;east2347
ATAYAL;atay1247
HUARI;aika1237
TABI;gaam1241
TICUNA;ticu1245
TULU;tulu1258
TEHUELCHE;tehu1242
TELUGU;telu1262
TEMNE;timn1235
TEMEIN;nucl1339
TETUN;tetu1245
TIGAK;tiga1245
TAGALOG;taga1270
THAI;thai1261
TAMASHEQ;taha1241
TIGRE;tigr1270
TIWI;tiwi1244
TIRURAY;tiru1241
TLINGIT;tlin1245
JOMANG;talo1250
TAMA;tama1331
ASMAT;tamn1235
TACANA;taca1256
LENAKEL;lena1238
TOTONAC;papa1238
TAMPULMA;tamp1252
TLAPANEC;acat1239
TRUMAI;trum1247
TAORIPI;toar1246
TONKAWA;tonk1249
NEO-ARAMAIC;lish1246
TSIMSHIAN;nucl1649
TSOU;tsou1248
TARASCAN;pure1242
TERA;tera1251
TUNICA;tuni1252
TURKISH;nucl1301
PICURIS;picu1248
TUVA;tuvi1240
TZELTAL;tzel1254
NGARINJIN;ngar1284
MUNDARI;mund1320
UZBEK;nort2690
VANIMO;vani1248
VIETNAMESE;viet1252
MBABARAM;mbab1239
WAPPO;wapp1239
WAPISHANA;wapi1253
WARAO;wara1303
WAHGI;nucl1620
WICHITA;wich1260
WIK-MUNKAN;wikm1247
WINTU;wint1259
WIYOT;wiyo1248
WANTOAT;want1252
USAN;usan1239
WOISIKA;kama1365
WOLOF;nucl1347
WARIS;wari1266
WARAY;wara1290
BERTA;bert1248
CHANGZHOU;wuch1236
NGIYAMBAA;wang1291
KAWAIISU;kawa1283
KOMA;komo1258
KPELLE;libe1247
KADUGLI;katc1249
YAGUA;yagu1244
YAQUI;yaqu1251
YUCUNA;yucu1253
TAROK;taro1263
YAGARIA;yaga1260
YIDINY;yidi1250
YUKAGHIR;nort2745
YANA;yana1271
YORUBA;yoru1245
YAREBA;yare1248
NENETS;nene1249
YESSAN-MAYO;yess1239
YUCATEC;yuca1254
YUCHI;yuch1247
TAISHAN;yuec1235
YULU;yulu1243
YAWA;nucl1454
AZANDE;zand1248
ZOQUE;copa1236
ZULU;zulu1248
ZUNI;zuni1245
Abidji;abid1235
Adioukrou;adio1239
Adja;ajab1235
Adja;ajab1235
Agni sanvi;anyi1244
Ahl?;igoo1238
Akan;akan1250
Ak??se;akoo1248
Angas;ngas1240
Anuf?;anuf1239
Arabe;suda1236
Avokaya;avok1242
Babungo;veng1238
Bafut;bafu1246
Baka;baka1272
Bambara;bamb1269
Banda;band1345
Banda;band1345
Bandi;band1352
Baoul?;baou1238
Bariba;baat1238
Basaa;basa1284
Bassa;nucl1418
Bassar;ntch1242
B?t?;gagn1235
Bekwarra;bekw1241
Berom;bero1242
B???;beng1286
Bhele;bhel1238
Biali;bial1238
Bimoba;bimo1239
Bisa;biss1248
Bobo;nort2819
Boussa;boko1266
Bozo;hain1253
Bulu;bulu1251
Cerma;cerm1238
Chumburung;chum1261
Daba;nucl1683
Dagaare;sout2789
Dagara;nort2780
Dagbani;dagb1246
Dan;dann1241
Dangme;adan1247
Daza;daza1242
Dholuo;luok1236
Dida;lako1244
Dioula;dyul1238
Ditammari;dita1238
Doayo;doya1240
Dogon;toro1252
Duala;dual1243
Duruma;duru1249
Ebira;ebir1243
E?e;ewee1241
?do;bini1246
?zaa;ezaa1238
Ejagham de l'ouest;ejag1239
Emai;emai1241
Engenni;enge1239
Ewondo;ewon1239
Fe'efe'fe;fefe1239
F?n;fonn1241
Fulfulde;adam1253
Fulfulde;cent2018
Fulfulde;maas1239
Fulfulde;west2454
Fuliru;fuli1240
Ga;gaaa1244
Gangam;ngan1299
Gbaya;nort2775
Gbaya;gbay1287
G?n-mina;genn1243
G?n-mina;genn1243
Godi?;godi1239
Gonja;gonj1241
Grebo;nort2810
Gu?e;gude1246
Gulmancema;gour1243
Hanga;hang1258
Hausa;haus1257
Hausa;haus1257
If??;ifee1241
Igbo;nucl1417
Igede;iged1239
"Ijo de l'est; Eastern Ijo";sout2774
Ikwo;ikwo1238
Izi;izii1239
Joola;jola1263
Jur m?d?;jurm1239
Kabiy?;kabi1261
Kak?;kako1242
Kambari;baan1242
Kanuri;cent2050
Karaboro;west2466
Kara?;kara1478
Kasem;kase1253
Kas?m;kase1253
K??zime;koon1245
Kikuyu;kiku1240
Kisiei;nort2765
Kom;komc1235
Komo;komo1260
Konkomba;konk1269
Kpelle;libe1247
Kp?l?woo;guin1254
Kresh;gbay1288
Krio;krio1253
Kroumen t?po;tepo1239
Kuria;kuri1259
Kusal;kusa1250
Lama;lama1275
Lele;lele1276
Lendu;lend1245
L?g?magooi;loma1260
L?k?;loko1255
Ligbi;ligb1244
Limba;west2450
Limbum;limb1268
Lingala;ling1263
Lokpa;lukp1238
Luganda;gand1255
Lugbara;lugb1240
Ly?l?;lyel1241
Mambila;came1252
Mambila;nige1255
Mampruli;mamp1244
Mande;west2500
Manding;east2426
Mangbetu;mang1394
Maninka-kan;kita1249
M?nd?;mund1326
Mbembe;cros1244
Mbo?;mboc1235
Mekaa;maka1304
Mende;mend1266
Metta;meta1238
Minyanka;mama1271
Mo;degg1238
Mofu-gudur;mofu1248
Moore;moss1236
Muan;mwan1250
Mundani;mund1327
Munukutuba;kitu1245
Murle;murl1244
Mwaghavul;mwag1236
Nafaanra;nafa1258
Nawdm;nawd1238
N?ni;nort2784
N?maa;noma1260
Ngambai;ngam1268
Ngbaka;ngba1285
Ngbandi;nort2774
Ngyemb??n;ngie1241
Niaboua;nyab1255
Nso?;lamn1239
Nugunu;nugu1242
Nupe;nupe1254
Pandikeri;pand1265
Podoko;park1239
Pulaar;pula1263
Pular;pula1262
Rendille;rend1243
Sabaot;saba1262
Sango;sang1328
Sango;sang1328
Senoufo;sena1262
Sereer;sere1260
Sissala;siss1242
Sissala;siss1242
Songhoy;koyr1240
Soninke;soni1259
Sooninke;soni1259
Soso;susu1250
Swahili;swah1253
Tamajaq;tawa1286
Tamasheq;tama1365
Tarok;taro1263
T??n;teen1242
Teda;teda1241
Tem;temm1241
T?fin;tofi1235
Themne;timn1235
Tikar;tika1246
Toposa;topo1242
Toura;tour1242
Toussian;nort2787
Vagala;vagl1239
Vute;vute1244
Waama;waam1244
Wan;wann1242
Wob?;weno1238
Wolof;nucl1347
Yamba;yamb1251
Yamb?ta;yamb1252
Yaour?;yaou1238
Yemba;yemb1246
Yom;yomm1242
Yorouba;yoru1245
Yorouba;yoru1245
Zande;zand1248
Zarma;zarm1239
Zulgo;zulg1242
Fwe;fwee1238
Yeyi;yeyi1239
Cavinena;cavi1250
Chamicuro;cham1318
Chechen;chec1245
Chepang;chep1245
Cheremis;east2328
Chinanteco;leal1235
Tila, Chiapas;chol1282
Chrau;chra1242
Barbare?o;barb1263
Coeur d''Alene';coeu1236
Comanche;coma1245
Cupeno;cupe1243
Cuvok;cuvo1236
Denya;deny1238
Dhangar;nepa1253
Muhiang;mufi1238
Usarufa;usar1243
Korafe;kora1295
Binumarien;binu1245
Eggon;eggo1239
Ekpeye;ekpe1253
Endo;endo1242
Esimbi;esim1238
Fan;fang1246
Furu;furu1242
Garadjari;kara1476
Gbari;gbar1246
Golin;goli1247
Guajajara;guaj1255
Gunwinggu;gunw1252
Haya;haya1250
Huron;huro1249
Huichol;huic1243
Huaylas;huay1240
Huave, San Mateo del Mar;sanm1287
Huanca;jauj1238
Louyi;luya1241
Ibani;iban1261
Imonda;imon1245
Ingush;ingu1240
Isaka;kris1246
Jalonke;yalu1240
Hill Jarawa;izer1241
Jarawara;jama1261
Jemez;jeme1245
Jili;liji1238
Kabyle;kaby1243
Kada;gida1247
Kaiabi;kaya1329
Kamasau;kama1367
Kanoe;kano1245
Kensei Nsei;kens1251
Kar;east2398
Karipuna Creole;kari1301
Kenyang;keny1279
Kharia;khar1287
Chong;chon1284
Kinyarwanda;kiny1244
Kirike;kiri1254
Kokota;koko1269
Kole;bako1250
Konni;konn1242
Kuay;kuay1244
Kulung;kulu1253
Kuot;kuot1243
Kusunda;kusu1250
Kuvi;kuvi1243
Kwaza;kwaz1243
Ladakhi;lada1244
Langi;lang1320
Lao;laoo1244
Lavukaleve;lavu1241
Bafo;bafa1247
Lunda;lund1266
Lucazi;luch1239
Lukundu;orok1266
Macedonian;mace1250
Mada;mada1293
Ma'di;madi1260
Manam;mana1295
Mamenyan;bame1260
Manange;mana1288
Ngemba;ngem1255
Mara;mara1385
Maybrat;maib1239
"Mbodomo; Mbo?d??m??";gbay1281
Medumba;medu1238
Mingrelian;ming1252
Mmen;mmen1238
Moken;moke1242
Moseten;mose1249
Mpumpun;mpon1254
Mungaka;mung1266
Mvumbo;mvum1238
Mwotlap;motl1237
Namia;nami1256
Ndemli;ndem1249
Chiricahua Apache;mesc1238
Yuma;quec1382
Nankina;nank1250
Nandi;nand1266
Khmu;kima1246
Naki;naki1238
Michoacan Nahual;mich1245
Nagamese;naga1394
Ngishe;ngos1238
Ngalakan;ngal1293
Nganikurungkurr;nang1259
Ngomba;ngom1272
Ngombale;ngom1271
Nootka;nuuc1236
Northern Khmer;nort2684
Northern Paiute;nort2954
Nubi;nubi1253
Nuer;nuer1246
Nulibie;elip1238
Kinyamwezi;nyam1276
Nyeu;nyeu1238
Obolo;obol1243
Mianmin;mian1257
Faiwol;faiw1243
Oku;okuu1243
Ossetian;osse1243
Palauan;pala1344
Orokaiva;orok1269
Yil;yill1241
Ningil;ning1273
Dobu;dobu1241
Samo;samo1303
Urii;urii1240
Boiken;boik1241
Pray;phai1238
Mal;mall1246
Rama;rama1270
Matbat;matb1237
Rundi;rund1242
Runyankore;nyan1307
Marwari;marw1260
Samba Leko;samb1305
Samo de Toma;sout2844
Samre;samr1245
Sabane;saba1268
Saanich;saan1246
Sasak;sasa1249
Savara;sora1254
Popoluca de Sayula;sayu1241
Secoya;seco1241
Sedik;taro1264
Seimat;seim1238
Semelai;seme1247
Serrano;serr1255
Shabo;shab1252
Shanenawa;yawa1260
Shimakonde;mako1251
Shona;shon1251
Shupamem;bamu1253
Siar-Lak;siar1238
Saraiki;sera1259
Shawnee;shaw1249
Skou;nucl1634
So;aheu1239
South Efate;sout2856
Spokan;spok1245
Sesotho;sout2807
Satawalese;sata1237
Sumo;ulwa1239
Hup;hupd1244
San Miguel Chimalapa Zoque;chim1300
Zapotec;loxi1235
Yuki;yuki1243
Yapese;yape1248
Yurok;yuro1248
Yuracure;yura1255
Yukaghir (Kolyma);sout2750
Wa;nucl1290
Wambon;wamb1259
Washo;wash1253
Wayana;waya1269
Wogeo;woge1237
Warihio;huar1255
Vai;vaii1241
Ukrainian;ukra1253
Palula (Phalura);phal1254
East Makian;east2440
Tapiete;tapi1253
Baruga;baru1269
Tatuyo;tatu1247
Tagwana;tagw1240
Mazanderani;maza1291
Pa-O, Taungthu;paok1235
Ternate;tern1247
Toba (Argentina);toba1269
Polish;poli1260
"Standard Chinese; Mandarin";mand1415
"Kalabari; Kirike; Kalabari-Ijo";kala1381
Standard Yiddish;east2295
Dutch;dutc1256
"Tamambo; Malo";malo1243
Gayo;gayo1244
Jamaican Creole;jama1262
"Mambay; Mambai";mamb1294
Aragonese;arag1245
Tilquiapan Zapotec;tilq1235
Ibibio;ibib1240
Tamil;tami1289
San Bartolome? Zoogocho Zapotec;zoog1238
"Baga Koga; Koba; Barka";baga1273
Southern Nuautl;sout2895
Selaru;sela1259
"Tsuvadi; Avadi; Abadi; Evadi; Kamberi; Ibeto";tsuv1239
"Hanga Hundi; Kwasengen; West Wosera";hang1263
"Blang; Plang; Bulang; Pulang; Pula; Kawa; K''ala; Kontoi'";blan1242
"Tatana''; Tatanaq; Tatana'";tata1257
Tibetan;tibe1272
"Che; Rukuba; Kuche; Bache; Inchazi; Sale";chee1238
"Tolowa; Tolowa-Chetco";tolo1259
"Pagibete; Apakabeti; Apakibeti; Apagibete;Apagibeti; Pagabete";pagi1243
Choctaw;choc1276
Michif;mich1243
"Pilaga; Pilag?";pila1245
"Euchee; Yuchi";yuch1247
"Kurripako; Baniwa; Baniwa (Icana)";bani1255
"Karitiana; Kariti?na";kari1311
"I?upiaq; I?upiat; Inupiat; Inupiaq";nort2943
"Tlacolula Valley Zapotec; Western Tlacolula Zapotec; Zapotec, San Juan Guelav?a";sanj1284
Tzotzil, Chamula;tzot1259
"Sidaama; Sidamo; Sidamic";sida1246
"Bajau, West Coast; Land Bajaw; West Coast Bajao";west2560
Chimariko;chim1301
"Tepehua, Huehuetla; Tepehua de Hidalgo; Tepehua de Huehuetla";hueh1236
"Southern Ute; Ute; Ute-Southern Paiute";utes1238
"Dupaningan Agta; Eastern Cagayan Agta; Dupaninan Agta";dupa1235
"Tongan; Tonga";tong1325
"Lake Miwok; Miwok (Lake)";lake1258
Laz;lazz1240
Juang;juan1238
Adang;adan1251
Ambele;ambe1247
Apurin?;apur1254
Acehnese;achi1257
Antiguan Creole;anti1245
